
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003869                       # Number of seconds simulated (Second)
simTicks                                   3869251500                       # Number of ticks simulated (Tick)
finalTick                                  3869251500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     30.80                       # Real time elapsed on the host (Second)
hostTickRate                                125630571                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2270876                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       11441041                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   324689                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     371478                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7738504                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16723226                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1317                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14654528                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  33995                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5283459                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12488118                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 521                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7652878                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.914904                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.946281                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2511570     32.82%     32.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1371873     17.93%     50.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1253475     16.38%     67.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    930891     12.16%     79.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    665705      8.70%     87.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    463100      6.05%     94.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    269359      3.52%     97.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    106682      1.39%     98.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     80223      1.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7652878                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   26153     13.12%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.12% # attempts to use FU when none available (Count)
