
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003838                       # Number of seconds simulated (Second)
simTicks                                   3838218500                       # Number of ticks simulated (Tick)
finalTick                                  3838218500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     30.07                       # Real time elapsed on the host (Second)
hostTickRate                                127629978                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2270872                       # Number of bytes of host memory used (Byte)
simInsts                                     10000005                       # Number of instructions simulated (Count)
simOps                                       11441045                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   332523                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     380441                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7676438                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16623137                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1448                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14490310                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  31515                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5183533                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12651398                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 652                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7590340                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.909046                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.942366                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2490861     32.82%     32.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1367404     18.02%     50.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1249153     16.46%     67.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    922104     12.15%     79.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    659575      8.69%     88.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    455567      6.00%     94.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    259816      3.42%     97.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    103623      1.37%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     82237      1.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7590340                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   22123     11.70%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     11.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     11.70% # attempts to use FU when none available (Count)
