
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003150                       # Number of seconds simulated (Second)
simTicks                                   3150352500                       # Number of ticks simulated (Tick)
finalTick                                  3150352500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     24.03                       # Real time elapsed on the host (Second)
hostTickRate                                131109000                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2256768                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       11814317                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   416171                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     491678                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6300706                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15782252                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      114                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       13626939                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  82664                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3968021                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11919644                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             6281568                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.169353                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.064705                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1810125     28.82%     28.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    971790     15.47%     44.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1173866     18.69%     62.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    776487     12.36%     75.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    666580     10.61%     85.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    375057      5.97%     91.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    263263      4.19%     96.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     98427      1.57%     97.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    145973      2.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               6281568                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   34900     87.70%     87.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     87.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.70% # attempts to use FU when none available (Count)
