
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003833                       # Number of seconds simulated (Second)
simTicks                                   3832817500                       # Number of ticks simulated (Tick)
finalTick                                  3832817500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     29.96                       # Real time elapsed on the host (Second)
hostTickRate                                127916069                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2271900                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       11441040                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   333738                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     381831                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7665636                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16632186                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1426                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14468574                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30046                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5192567                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12776330                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 630                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7577262                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.909473                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.949520                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2505215     33.06%     33.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1346037     17.76%     50.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1251466     16.52%     67.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    910007     12.01%     79.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    658024      8.68%     88.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    456751      6.03%     94.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    258628      3.41%     97.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    107107      1.41%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     84027      1.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7577262                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   22809     11.87%     11.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.87% # attempts to use FU when none available (Count)
