
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003837                       # Number of seconds simulated (Second)
simTicks                                   3836725000                       # Number of ticks simulated (Tick)
finalTick                                  3836725000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     30.40                       # Real time elapsed on the host (Second)
hostTickRate                                126196927                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2270876                       # Number of bytes of host memory used (Byte)
simInsts                                     10000005                       # Number of instructions simulated (Count)
simOps                                       11441045                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   328918                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     376316                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7673451                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16608515                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1271                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14536125                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30462                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5168720                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12377019                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 475                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7588001                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.915673                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.944667                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2476813     32.64%     32.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1370126     18.06%     50.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1253856     16.52%     67.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    920650     12.13%     79.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    654393      8.62%     87.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    461962      6.09%     94.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    264213      3.48%     97.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    104227      1.37%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     81761      1.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7588001                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   24556     12.86%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     12.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     12.86% # attempts to use FU when none available (Count)
