
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003903                       # Number of seconds simulated (Second)
simTicks                                   3903397500                       # Number of ticks simulated (Tick)
finalTick                                  3903397500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     29.64                       # Real time elapsed on the host (Second)
hostTickRate                                131699597                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2272924                       # Number of bytes of host memory used (Byte)
simInsts                                     10000005                       # Number of instructions simulated (Count)
simOps                                       11441045                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   337397                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     386017                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7806796                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16888627                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1330                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14589234                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30919                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5448895                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13556781                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 534                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7718241                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.890228                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.944049                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2579002     33.41%     33.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1383937     17.93%     51.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1271928     16.48%     67.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    910924     11.80%     79.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    660237      8.55%     88.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    460059      5.96%     94.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    260364      3.37%     97.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    109078      1.41%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     82712      1.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7718241                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   22100     11.52%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     11.52% # attempts to use FU when none available (Count)
